City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Fort Myers Beach,US,73.42,overcast clouds,26.452,-81.9481,Lani Kai Island Resort
147,Isangel,VU,86.11,moderate rain,-19.55,169.2667,Tanna Lodge
148,Sao Joao Da Barra,BR,76.28,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
149,Huarmey,PE,72.73,scattered clouds,-10.0681,-78.1522,Hotel Miramar
150,Tenenkou,ML,70.88,broken clouds,14.4572,-4.9169,Ungoofaaru Inn
151,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Hotel los Algarrobos
152,Bandarbeyla,SO,72.19,clear sky,9.4942,50.8122,JABIR HOTEL
153,Fortuna,US,58.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
154,Nha Trang,VN,69.8,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
155,Nanortalik,GL,18.34,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
156,Provideniya,RU,-3.64,light snow,64.3833,-173.3,Ungoofaaru Inn
157,Gornopravdinsk,RU,3.34,overcast clouds,60.05,69.9,Hostel
158,Nelson Bay,AU,80.96,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
159,Kingisepp,RU,24.71,snow,59.3733,28.6134,Narva
160,Barreirinha,BR,74.26,moderate rain,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
161,Constitucion,CL,59.32,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
162,Ungheni,MD,32.95,light snow,47.2042,27.7958,Iri-Dana
163,Bocas Del Toro,PA,78.87,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
164,Tommot,RU,-1.88,light snow,58.9564,126.2925,Gostinitsa Tommot
165,Moose Factory,CA,8.6,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
166,Saint-Augustin,CA,-3.73,few clouds,51.226,-58.6502,Ungoofaaru Inn
167,Daru,PG,82.96,overcast clouds,-9.0763,143.2092,Daru Lodge
168,Touba,CI,72.82,clear sky,8.2833,-7.6833,Hotel de L'Amitié Vraie
169,Pergamino,AR,73.26,overcast clouds,-33.89,-60.5736,Hotel Fachinat
170,Ahuimanu,US,80.78,broken clouds,21.4447,-157.8378,Paradise Bay Resort
171,Cankuzo,BI,58.98,overcast clouds,-3.1333,30.5833,Ungoofaaru Inn
172,Bambous Virieux,MU,68.25,few clouds,-20.3428,57.7575,Casa Tia Villa
173,Guerrero,MX,73.38,scattered clouds,17.6667,-100.0,Villaxochilt
174,Barrow,US,-11.18,clear sky,71.2906,-156.7887,King Eider Inn
175,Flin Flon,CA,10.24,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
176,Yar-Sale,RU,6.64,overcast clouds,66.8333,70.8333,Yalemd
177,Tuktoyaktuk,CA,-5.8,few clouds,69.4541,-133.0374,End of The Road Ltd.
178,Ahipara,NZ,72.7,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
179,Komsomolskiy,UZ,31.42,mist,40.4272,71.7189,Ikathouse
180,Coihaique,CL,78.75,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
181,Westport,US,25.75,clear sky,41.1415,-73.3579,The Westport Inn
182,Kang,BW,71.91,broken clouds,-23.6752,22.7876,Kang Ultra Stop
183,Augusto Correa,BR,76.96,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
184,Ribeira Grande,PT,59.52,few clouds,38.5167,-28.7,Quinta da Meia Eira
185,Mabaruma,GY,70.2,broken clouds,8.2,-59.7833,Monty Brooms Guest House
186,Krasnyy Yar,RU,24.73,overcast clouds,46.5331,48.3456,Cottege near Ufa
187,Honiara,SB,79.95,overcast clouds,-9.4333,159.95,Heritage Park Hotel
188,Rio Grande,BR,74.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
189,Tromso,NO,26.62,light shower snow,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
190,Ambovombe,MG,69.26,clear sky,-25.1667,46.0833,RELAHARA
191,Kodinsk,RU,-12.53,overcast clouds,58.6881,99.1844,Ungoofaaru Inn
192,Mehamn,NO,27.66,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
193,Iwanai,JP,30.16,light snow,42.9744,140.5089,いわない高原ホテル
194,Dubai,AE,67.21,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
195,Anisoc,GQ,69.71,scattered clouds,1.8658,10.7689,Ungoofaaru Inn
196,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
197,Jumla,NP,23.43,scattered clouds,29.2747,82.1838,Royal Garden Hotel
198,La Palma,US,74.84,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
199,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
200,San Jose,US,66.92,clear sky,37.3394,-121.895,The Westin San Jose
201,Mongo,TD,68.07,scattered clouds,12.1844,18.693,Résidences du Programme FIDA
202,Cap-Aux-Meules,CA,17.65,overcast clouds,47.3821,-61.8597,Auberge Madeli
203,Terrace,CA,37.31,broken clouds,54.5163,-128.6035,Northern Motor Inn
204,Pozo Colorado,PY,91.44,few clouds,-23.4923,-58.7972,Hospedaje la Amistad
205,Vostok,RU,1.35,overcast clouds,46.4856,135.8833,Ungoofaaru Inn
206,Bandar-E Anzali,IR,46.51,broken clouds,37.4727,49.4622,هتل بیاچ
207,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
208,Nicoya,CR,83.75,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
209,Salinopolis,BR,79.38,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
210,Kavaratti,IN,77.22,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
211,Lichinga,MZ,64.49,broken clouds,-13.3128,35.2406,Residencial Bendiak
212,Port Lincoln,AU,73.69,clear sky,-34.7333,135.8667,Port Lincoln Hotel
213,Saint George,US,54.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
214,Tecoanapa,MX,80.31,clear sky,16.5167,-98.75,Hotel Manglares
215,Hasaki,JP,37.8,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
216,Sao Bernardo,BR,74.16,overcast clouds,-3.3614,-42.4178,Hotel Prado
217,Caravelas,BR,75.13,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
218,Pio Ix,BR,70.27,overcast clouds,-6.8375,-40.5792,Hotel Central
219,Mar Del Plata,AR,64.09,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
220,Sao Filipe,CV,74.61,overcast clouds,14.8961,-24.4956,Hotel Xaguate
221,Tura,IN,53.55,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
222,Lazne Bohdanec,CZ,34.61,overcast clouds,50.0756,15.6798,Autokemp Lázně Bohdaneč
223,Kruisfontein,ZA,65.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
224,Vardo,NO,25.36,broken clouds,70.3705,31.1107,Vardø Hotel AS
225,Mecca,SA,65.93,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
226,Vysokogornyy,RU,-4.94,overcast clouds,50.1167,139.15,Ungoofaaru Inn
227,Roebourne,AU,83.66,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
228,Tuatapere,NZ,58.82,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
229,Beringovskiy,RU,0.7,overcast clouds,63.05,179.3167,Beringgorski
