City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Huarmey,PE,-10.0681,-78.1522,72.73,78,48,8.9,scattered clouds
150,Tenenkou,ML,14.4572,-4.9169,70.88,11,62,8.88,broken clouds
151,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,73,75,13.8,broken clouds
152,Bandarbeyla,SO,9.4942,50.8122,72.19,69,9,13.85,clear sky
153,Fortuna,US,40.5982,-124.1573,58.19,84,1,1.99,clear sky
154,Nha Trang,VN,12.25,109.1833,69.8,86,56,7.43,broken clouds
155,Nanortalik,GL,60.1432,-45.2371,18.34,73,100,13.73,overcast clouds
156,Provideniya,RU,64.3833,-173.3,-3.64,71,75,4.47,light snow
157,Gornopravdinsk,RU,60.05,69.9,3.34,96,99,5.48,overcast clouds
158,Nelson Bay,AU,-32.7167,152.15,80.96,58,46,3.0,scattered clouds
159,Kingisepp,RU,59.3733,28.6134,24.71,95,100,10.09,snow
160,Barreirinha,BR,-2.7933,-57.07,74.26,95,100,2.37,moderate rain
161,Constitucion,CL,-35.3333,-72.4167,59.32,93,10,7.52,clear sky
162,Ungheni,MD,47.2042,27.7958,32.95,92,100,0.0,light snow
163,Bocas Del Toro,PA,9.3333,-82.25,78.87,66,94,5.1,overcast clouds
164,Tommot,RU,58.9564,126.2925,-1.88,96,100,10.71,light snow
165,Moose Factory,CA,51.2585,-80.6094,8.6,66,100,25.32,overcast clouds
166,Saint-Augustin,CA,51.226,-58.6502,-3.73,83,19,12.48,few clouds
167,Daru,PG,-9.0763,143.2092,82.96,80,100,6.24,overcast clouds
168,Touba,CI,8.2833,-7.6833,72.82,19,2,1.39,clear sky
169,Pergamino,AR,-33.89,-60.5736,73.26,70,91,17.65,overcast clouds
170,Ahuimanu,US,21.4447,-157.8378,80.78,60,75,5.01,broken clouds
171,Cankuzo,BI,-3.1333,30.5833,58.98,89,98,2.46,overcast clouds
172,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,20,3.44,few clouds
173,Guerrero,MX,17.6667,-100.0,73.38,56,42,2.19,scattered clouds
174,Barrow,US,71.2906,-156.7887,-11.18,70,0,17.27,clear sky
175,Flin Flon,CA,54.7682,-101.865,10.24,61,40,20.71,scattered clouds
176,Yar-Sale,RU,66.8333,70.8333,6.64,93,99,10.45,overcast clouds
177,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,20,17.27,few clouds
178,Ahipara,NZ,-35.1667,173.1667,72.7,57,74,15.19,broken clouds
179,Komsomolskiy,UZ,40.4272,71.7189,31.42,74,0,6.91,mist
180,Coihaique,CL,-45.5752,-72.0662,78.75,29,0,5.75,clear sky
181,Westport,US,41.1415,-73.3579,25.75,44,0,1.99,clear sky
182,Kang,BW,-23.6752,22.7876,71.91,60,56,8.72,broken clouds
183,Augusto Correa,BR,-1.0217,-46.635,76.96,85,94,3.2,overcast clouds
184,Ribeira Grande,PT,38.5167,-28.7,59.52,78,15,15.12,few clouds
185,Mabaruma,GY,8.2,-59.7833,70.2,84,76,3.49,broken clouds
186,Krasnyy Yar,RU,46.5331,48.3456,24.73,95,85,7.74,overcast clouds
187,Honiara,SB,-9.4333,159.95,79.95,83,100,6.26,overcast clouds
188,Rio Grande,BR,-32.035,-52.0986,74.95,93,100,14.56,overcast clouds
189,Tromso,NO,69.6496,18.957,26.62,86,75,3.44,light shower snow
190,Ambovombe,MG,-25.1667,46.0833,69.26,86,0,8.93,clear sky
191,Kodinsk,RU,58.6881,99.1844,-12.53,100,94,1.28,overcast clouds
192,Mehamn,NO,71.0357,27.8492,27.66,88,96,12.5,light snow
193,Iwanai,JP,42.9744,140.5089,30.16,79,99,12.57,light snow
194,Dubai,AE,25.2582,55.3047,67.21,72,0,4.61,clear sky
195,Anisoc,GQ,1.8658,10.7689,69.71,98,45,1.95,scattered clouds
196,Noumea,NC,-22.2763,166.4572,84.18,99,91,13.67,overcast clouds
197,Jumla,NP,29.2747,82.1838,23.43,71,27,5.17,scattered clouds
198,La Palma,US,33.8464,-118.0467,74.84,34,75,4.0,broken clouds
199,Saldanha,ZA,-33.0117,17.9442,60.85,92,3,12.37,clear sky
200,San Jose,US,37.3394,-121.895,66.92,51,0,1.99,clear sky
201,Mongo,TD,12.1844,18.693,68.07,22,43,10.0,scattered clouds
202,Cap-Aux-Meules,CA,47.3821,-61.8597,17.65,79,100,17.27,overcast clouds
203,Terrace,CA,54.5163,-128.6035,37.31,87,75,5.75,broken clouds
204,Pozo Colorado,PY,-23.4923,-58.7972,91.44,36,24,6.38,few clouds
205,Vostok,RU,46.4856,135.8833,1.35,94,100,2.84,overcast clouds
206,Bandar-E Anzali,IR,37.4727,49.4622,46.51,88,78,9.1,broken clouds
207,Saint-Philippe,RE,-21.3585,55.7679,71.19,66,79,8.03,broken clouds
208,Nicoya,CR,10.1483,-85.452,83.75,56,65,6.85,broken clouds
209,Salinopolis,BR,-0.6136,-47.3561,79.38,82,96,8.75,overcast clouds
210,Kavaratti,IN,10.5669,72.642,77.22,60,77,7.02,broken clouds
211,Lichinga,MZ,-13.3128,35.2406,64.49,100,75,11.5,broken clouds
212,Port Lincoln,AU,-34.7333,135.8667,73.69,77,10,6.89,clear sky
213,Saint George,US,37.1041,-113.5841,54.07,23,0,1.99,clear sky
214,Tecoanapa,MX,16.5167,-98.75,80.31,71,0,7.18,clear sky
215,Hasaki,JP,35.7333,140.8333,37.8,73,52,8.03,broken clouds
216,Sao Bernardo,BR,-3.3614,-42.4178,74.16,94,99,4.23,overcast clouds
217,Caravelas,BR,-17.7125,-39.2481,75.13,92,53,3.96,broken clouds
218,Pio Ix,BR,-6.8375,-40.5792,70.27,89,100,1.63,overcast clouds
219,Mar Del Plata,AR,-38.0023,-57.5575,64.09,71,20,1.99,few clouds
220,Sao Filipe,CV,14.8961,-24.4956,74.61,70,88,14.07,overcast clouds
221,Tura,IN,25.5198,90.2201,53.55,90,68,2.62,broken clouds
222,Lazne Bohdanec,CZ,50.0756,15.6798,34.61,83,100,10.0,overcast clouds
223,Kruisfontein,ZA,-34.0033,24.7314,65.88,96,98,1.21,overcast clouds
224,Vardo,NO,70.3705,31.1107,25.36,73,51,16.55,broken clouds
225,Mecca,SA,21.4267,39.8261,65.93,61,81,14.25,broken clouds
226,Vysokogornyy,RU,50.1167,139.15,-4.94,98,97,2.91,overcast clouds
227,Roebourne,AU,-20.7833,117.1333,83.66,54,12,16.24,few clouds
228,Tuatapere,NZ,-46.1333,167.6833,58.82,53,65,8.19,broken clouds
229,Beringovskiy,RU,63.05,179.3167,0.7,95,100,4.65,overcast clouds
230,Vicksburg,US,32.3526,-90.8779,48.7,47,0,8.05,clear sky
231,Rafaela,AR,-31.2503,-61.4867,79.0,55,63,4.0,broken clouds
232,Thompson,CA,55.7435,-97.8558,-0.24,71,40,12.66,scattered clouds
233,Tazovskiy,RU,67.4667,78.7,3.09,94,100,12.75,overcast clouds
234,Portland,US,45.5234,-122.6762,51.76,65,12,5.99,few clouds
235,Paranga,RU,56.7039,49.4047,2.23,97,97,5.01,overcast clouds
236,Hami,CN,42.8,93.45,21.4,45,7,0.29,clear sky
237,Havoysund,NO,70.9963,24.6622,31.08,75,100,7.45,light snow
238,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,45,0,11.5,clear sky
239,Bima,ID,-8.4667,118.7167,80.29,87,100,1.77,overcast clouds
240,Pilar,BR,-9.5972,-35.9567,80.53,83,42,5.32,scattered clouds
241,Sakata,JP,38.9167,139.855,37.58,65,75,19.57,broken clouds
242,Bang Rakam,TH,16.7585,100.1174,69.93,73,6,1.14,clear sky
243,Cortez,US,37.3489,-108.5859,39.52,42,26,10.0,scattered clouds
244,Valparaiso,CL,-33.0393,-71.6273,70.03,58,0,10.36,clear sky
245,Zhigansk,RU,66.7697,123.3711,-24.0,100,95,3.89,overcast clouds
246,Gavle,SE,60.6745,17.1417,28.94,86,92,1.99,overcast clouds
247,Naze,JP,28.3667,129.4833,59.92,71,67,5.61,broken clouds
248,Kolyvan,RU,55.3053,82.7391,-4.95,100,97,2.77,overcast clouds
249,Hirado,JP,33.3597,129.5531,43.95,57,99,5.93,light rain
